_id,title,year,rating,Director
2,Prometheus,2012,unrated,R_idley Scott
21,Gold,2016,unrated,Stephen Gaghan
57,Don't Breathe,2016,unrated,Fede Alvarez
32,Top Dog,1978,unrated,Feliks Falk
22,Manchester by the Sea,2016,unrated,Kenneth Lonergan
100,The Departed,2006,G,Martin Scorsese
33,X-Men: Apocalypse,2016,G,Bryan Singer
12,H_idden Figures,2016,unrated,Theodore Melfi
31,Why Him?,2016,unrated,John Hamburg
10,Passengers,2016,G,Morten Tyldum
50,The Last Face,2016,unrated,Sean Penn
53,Mother's Day,2016,unrated,Garry Marshall
17,Hacksaw R_idge,2016,G,Mel Gibson
38,Doctor Strange,2016,unrated,Scott Derrickson
52,Underworld: Blood Wars,2016,unrated,Anna Foerster
16,The Secret Life of Pets,2016,unrated,Chris Renaud
26,Paris pieds nus,2016,unrated,Dominique Abel
36,Captain America: Civil War,2016,unrated,Anthony Russo
25,Independence Day: Resurgence,2016,unrated,Roland Emmerich
30,Assassin's Creed,2016,G,Justin Kurzel
14,Moana,2016,G,Ron Clements
40,5- 25- 77,2016,unrated,Patrick Read Johnson
56,Silence,2016,G,Martin Scorsese
35,Res_ident Evil: The Final Chapter,2016,unrated,Richard Gage
61,Batman v Superman: Dawn of Justice,2016,unrated,Zack Snyder
23,Hounds of Love,2016,unrated,Ben Young
29,Bad Moms,2016,unrated,Jon Lucas
42,Moonlight,2016,unrated,Barry Jenkins
3,Split,2016,unrated,M. Night Shyamalan
19,Lion,2016,G,Garth Davis
15,Colossal,2016,G,Nacho Vigalondo
34,Deadpool,2016,G,Tim Miller
41,Sausage Party,2016,unrated,Greg Tiernan
63,The Girl on the Train,2016,unrated,Tate Taylor
13,Rogue One,2016,unrated,Gareth Edwards
65,The Prestige,2006,G,Christopher Nolan
7,La La Land,2016,G,Damien Chazelle
60,Sully,2016,unrated,Clint Eastwood
1,Guardians of the Galaxy,2014,G,James Gunn
4,Sing,2016,unrated,Christophe Lourdelet
67,Patriots Day,2016,unrated,Peter Berg
46,Pirates of the Caribbean: On Stranger T_ides,2007,unrated,Rob Marshall
51,Star Wars: Episode VII - The Force Awakens,2015,G,J.J. Abrams
20,Arrival,2016,G,Denis Villeneuve
18,Jason Bourne,2016,unrated,Paul Greengrass
73,A Monster Calls,2016,unrated,J.A. Bayona
70,Deepwater Horizon,2016,unrated,Peter Berg
11,Fantastic Beasts and Where to Find Them,2016,unrated,Dav_id Yates
64,Fifty Shades of Grey,2015,unrated,Sam Taylor-Johnson
43,Don't Fuck in the Woods,2016,unrated,Shawn Burkett
55,The Dark Knight,2008,G,Christopher Nolan
47,Miss Sloane,2016,unrated,John Madden
37,Interstellar,2014,G,Christopher Nolan
80,Ghostbusters,2016,unrated,Paul Feig
77,The Avengers,2012,G,Joss Whedon
45,Lowr_iders,2016,unrated,Ricardo de Montreuil
84,Gone Girl,2014,G,Dav_id Fincher
59,Their Finest,2016,unrated,Lone Scherfig
62,The Autopsy of Jane Doe,2016,unrated,André Øvredal
68,Mad Max: Fury Road,2015,G,George Miller
74,Collateral Beauty,2016,unrated,Dav_id F_idel
54,John Wick,2014,unrated,Chad Stahelski
_design/f2e6f01a9d833e6d7edf525aeb2a6dccd91456f8,,,,
66,Kingsman: The Secret Service,2014,unrated,Matthew Vaughn
44,The Founder,2016,unrated,John Lee Hancock
49,Star Trek Beyond,2016,unrated,Justin Lin
58,Me Before You,2016,unrated,Thea Sharrock
39,The Magnificent Seven,2016,unrated,Antoine Fuqua
82,Captain Fantastic,2016,unrated,Matt Ross
90,The Accountant,2016,unrated,Gavin O'Connor
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,,,,
81,Inception,2010,G,Christopher Nolan
88,Avatar,2009,G,James Cameron
27,Bahubali: The Beginning,2015,G,S.S. Rajamouli
78,Inglourious Basterds,2009,G,Quentin Tarantino
85,Furious Seven,2015,unrated,James Wan
69,Wakefield,2016,unrated,Robin Swicord
5,Suic_ide Squad,2016,G,Dav_id Ayer
8,Mindhorn,2016,unrated,Sean Foley
83,The Wolf of Wall Street,2013,G,Martin Scorsese
86,Jurassic World,2015,unrated,Colin Trevorrow
24,Trolls,2016,unrated,Walt Dohrn
48,Fallen,2016,unrated,Scott Hicks
28,Dead Awake,2016,unrated,Phillip Guzman
94,War Dogs,2016,unrated,Todd Phillips
98,The Vo_id,2016,unrated,Jeremy Gillespie
6,The Great Wall,2016,unrated,Yimou Zhang
75,Zootopia,2016,G,Byron Howard
91,Prisoners,2013,G,Denis Villeneuve
76,Pirates of the Caribbean: At World's End,2016,unrated,Gore Verbinski
79,Pirates of the Caribbean: Dead Man's Chest,2006,unrated,Gore Verbinski
9,The Lost City of Z,2016,unrated,James Gray
97,Kimi no na wa,2016,G,Makoto Shinkai
92,Warcraft,2016,unrated,Duncan Jones
96,The Nice Guys,2016,unrated,Shane Black
71,The Promise,2016,unrated,Terry George
93,The Help,2007,G,Tate Taylor
95,Avengers: Age of Ultron,2015,G,Joss Whedon
72,Allied,2016,unrated,Robert Zemeckis
87,Live by Night,2016,unrated,Ben Affleck
89,The Hateful Eight,2015,G,Quentin Tarantino
99,Personal Shopper,2016,unrated,Olivier Assayas
